threshold,rewiring_probability,clustered,high_degree,mean_average_clustering,mean_average_degree,number_of_runs,strategy_difference,clustered_outperforms,clustering_level
0.35,1.0,0.0212,0.022879999999999998,0.0138149672401901,8.0,100,-0.0016799999999999975,False,weakly_clustered
0.4,0.0,1.0,1.0,0.6428571428571429,8.0,100,0.0,False,highly_clustered
0.4,0.01,0.56908,0.02004,0.6262239365079365,8.0,100,0.5490400000000001,True,highly_clustered
0.4,0.05,0.08796,0.03056,0.5560889494949495,8.0,100,0.05739999999999999,True,highly_clustered
0.4,0.1,0.05056,0.021560000000000003,0.47624890354090355,8.0,100,0.028999999999999998,True,highly_clustered
0.4,0.2,0.035,0.02116,0.3439572423132423,8.0,100,0.013840000000000002,True,weakly_clustered
0.4,0.4,0.02336,0.02092,0.15155740415140412,8.0,100,0.0024399999999999977,True,weakly_clustered
0.4,0.8,0.021240000000000002,0.02212,0.019103238957121255,8.0,100,-0.0008799999999999988,False,weakly_clustered
0.4,1.0,0.02096,0.022319999999999996,0.0138149672401901,8.0,100,-0.0013599999999999966,False,weakly_clustered
0.45,0.0,1.0,1.0,0.6428571428571429,8.0,100,0.0,False,highly_clustered
0.45,0.01,0.08308,0.02,0.6262239365079365,8.0,100,0.06308,True,highly_clustered
0.45,0.05,0.03976,0.022320000000000003,0.5560889494949495,8.0,100,0.017439999999999994,True,highly_clustered
0.45,0.1,0.03252,0.02016,0.47624890354090355,8.0,100,0.01236,True,highly_clustered
0.45,0.2,0.026520000000000002,0.02004,0.3439572423132423,8.0,100,0.006480000000000003,True,weakly_clustered
0.45,0.4,0.0212,0.02008,0.15155740415140412,8.0,100,0.0011199999999999995,True,weakly_clustered
0.45,0.8,0.02032,0.02052,0.019103238957121255,8.0,100,-0.0001999999999999988,False,weakly_clustered
0.45,1.0,0.02052,0.02052,0.0138149672401901,8.0,100,0.0,False,weakly_clustered
0.5,0.0,1.0,1.0,0.6428571428571429,8.0,100,0.0,False,highly_clustered
0.5,0.01,0.08308,0.02,0.6262239365079365,8.0,100,0.06308,True,highly_clustered
0.5,0.05,0.03976,0.022320000000000003,0.5560889494949495,8.0,100,0.017439999999999994,True,highly_clustered
0.5,0.1,0.03236,0.02016,0.47624890354090355,8.0,100,0.012199999999999999,True,highly_clustered
0.5,0.2,0.026000000000000002,0.02004,0.3439572423132423,8.0,100,0.0059600000000000035,True,weakly_clustered
0.5,0.4,0.02116,0.02008,0.15155740415140412,8.0,100,0.001080000000000001,True,weakly_clustered
0.5,0.8,0.02032,0.02052,0.019103238957121255,8.0,100,-0.0001999999999999988,False,weakly_clustered
0.5,1.0,0.02044,0.02052,0.0138149672401901,8.0,100,-8.000000000000021e-05,False,weakly_clustered
