threshold,rewiring_probability,strategy,mean_final_adoption_share,std_final_adoption_share,mean_final_adoption_count,mean_steps_until_stable,cascade_rate,mean_average_clustering,mean_average_degree,number_of_runs
0.45,0.01,high_degree,0.02,0.0,10.0,2.0,0.0,0.6262239365079365,8.0,50
0.45,0.05,clustered,0.03976,0.01120233211871346,19.88,12.36,0.96,0.5560889494949495,8.0,50
0.45,0.05,high_degree,0.022320000000000003,0.008488744047867394,11.16,3.64,0.12,0.5560889494949495,8.0,50
0.45,0.1,clustered,0.03252,0.008673769982786362,16.26,8.24,0.92,0.47624890354090355,8.0,50
0.45,0.1,high_degree,0.02016,0.0011313708498984754,10.08,2.12,0.02,0.47624890354090355,8.0,50
0.45,0.2,clustered,0.026520000000000002,0.005522643555104266,13.26,6.24,0.86,0.3439572423132423,8.0,50
0.45,0.2,high_degree,0.02004,0.0002828427124746187,10.02,2.04,0.02,0.3439572423132423,8.0,50
0.45,0.4,clustered,0.0212,0.0018516401995451025,10.6,2.92,0.38,0.15155740415140412,8.0,50
0.45,0.4,high_degree,0.02008,0.00039589732744431486,10.04,2.08,0.04,0.15155740415140412,8.0,50
0.45,0.8,clustered,0.02032,0.0007406560798180407,10.16,2.32,0.16,0.019103238957121255,8.0,50
0.45,0.8,high_degree,0.02052,0.001129204162592543,10.26,2.4,0.2,0.019103238957121255,8.0,50
0.45,1.0,clustered,0.02052,0.0009739463170891028,10.26,2.48,0.24,0.0138149672401901,8.0,50
0.45,1.0,high_degree,0.02052,0.0008861749953869034,10.26,2.52,0.26,0.0138149672401901,8.0,50
0.5,0.0,clustered,1.0,0.0,500.0,486.28,1.0,0.6428571428571429,8.0,50
0.5,0.0,high_degree,1.0,0.0,500.0,490.0,1.0,0.6428571428571429,8.0,50
0.5,0.01,clustered,0.08308,0.03956954095549469,41.54,44.12,1.0,0.6262239365079365,8.0,50
0.5,0.01,high_degree,0.02,0.0,10.0,2.0,0.0,0.6262239365079365,8.0,50
0.5,0.05,clustered,0.03976,0.01120233211871346,19.88,12.36,0.96,0.5560889494949495,8.0,50
